  0.91E+00 &   0.99E-06 \\
  0.83E+00 &   0.94E-06 \\
  0.71E+00 &   0.84E-06 \\
  0.56E+00 &   0.79E-06 \\
  0.38E+00 &   0.97E-06 \\
  0.24E+00 &   0.31E-15 \\
  0.14E+00 &   0.47E-15 \\
  0.72E-01 &   0.16E-15 \\
  0.38E-01 &   0.22E-14 \\
  0.19E-01 &   0.60E-06 \\
  0.97E-02 &   0.15E-13 \\
  0.49E-02 &   0.17E-13 \\
  0.24E-02 &   0.22E-13 \\
  0.12E-02 &   0.71E-06 \\
  0.61E-03 &   0.61E-13 \\
  0.31E-03 &   0.52E-13 \\
  0.15E-03 &   0.36E-06 \\
  0.76E-04 &   0.63E-12 \\
  0.38E-04 &   0.79E-13 \\
  0.19E-04 &   0.38E-06 \\
  0.95E-05 &   0.31E-11 \\
  0.48E-05 &   0.77E-12 \\
  0.24E-05 &   0.80E-11 \\
  0.12E-05 &   0.79E-06 \\
  0.60E-06 &   0.50E-12 \\
