  0.95E+00 &   0.98E-06 \\
  0.91E+00 &   0.91E-06 \\
  0.83E+00 &   0.91E-06 \\
  0.71E+00 &   0.84E-06 \\
  0.56E+00 &   0.15E-06 \\
  0.38E+00 &   0.22E-15 \\
  0.24E+00 &   0.44E-15 \\
  0.14E+00 &   0.67E-15 \\
  0.72E-01 &   0.43E-06 \\
  0.38E-01 &   0.31E-14 \\
  0.19E-01 &   0.62E-14 \\
  0.97E-02 &   0.13E-06 \\
  0.49E-02 &   0.22E-13 \\
  0.24E-02 &   0.32E-13 \\
  0.12E-02 &   0.70E-13 \\
  0.61E-03 &   0.79E-06 \\
  0.31E-03 &   0.74E-13 \\
  0.15E-03 &   0.17E-12 \\
  0.76E-04 &   0.51E-06 \\
  0.38E-04 &   0.11E-12 \\
  0.19E-04 &   0.58E-11 \\
  0.95E-05 &   0.54E-06 \\
  0.48E-05 &   0.11E-11 \\
  0.24E-05 &   0.11E-10 \\
  0.12E-05 &   0.28E-11 \\
  0.60E-06 &   0.91E-06 \\
