  0.11E+01 &   0.98E-06 \\
  0.90E+00 &   0.92E-06 \\
  0.72E+00 &   0.79E-06 \\
  0.54E+00 &   0.70E-06 \\
  0.39E+00 &   0.92E-06 \\
  0.28E+00 &   0.42E-06 \\
  0.19E+00 &   0.25E-06 \\
  0.13E+00 &   0.22E-06 \\
  0.85E-01 &   0.87E-07 \\
  0.56E-01 &   0.19E-06 \\
  0.36E-01 &   0.40E-06 \\
  0.23E-01 &   0.78E-06 \\
  0.15E-01 &   0.42E-08 \\
  0.96E-02 &   0.20E-09 \\
  0.61E-02 &   0.16E-07 \\
  0.39E-02 &   0.67E-08 \\
  0.25E-02 &   0.85E-08 \\
  0.16E-02 &   0.20E-07 \\
  0.99E-03 &   0.74E-08 \\
  0.63E-03 &   0.27E-07 \\
  0.40E-03 &   0.35E-07 \\
  0.25E-03 &   0.74E-07 \\
  0.16E-03 &   0.74E-07 \\
  0.10E-03 &   0.11E-07 \\
  0.63E-04 &   0.20E-06 \\
  0.40E-04 &   0.31E-06 \\
  0.25E-04 &   0.53E-06 \\
  0.16E-04 &   0.32E-07 \\
